#tail	head
O00144	P35222
O75084	P35222
O75581	P98082
Q13467	P35222
Q14332	P35222
Q9H461	P35222
Q9NPG1	P35222
Q9ULW2	P35222
Q9UP38	P35222
O00144	O14640
O14640	P25054
O14640	Q15797
O00144	O14641
O14641	P25054
O00144	Q92997
Q92997	P98082
O75084	O14640
O75084	O14641
O75084	Q92997
O75197	O15169
O15169	P25054
O15169	P35222
O75197	P19022
P19022	P35222
O75581	O15169
O75581	P19022
Q13467	O14640
Q13467	O14641
Q13467	Q92997
Q14332	O14640
Q14332	O14641
Q14332	Q92997
Q9H461	O14640
Q9H461	O14641
Q9H461	Q92997
Q9NPG1	O14640
Q9NPG1	O14641
Q9NPG1	Q92997
Q9ULW2	O14640
Q9ULW2	O14641
Q9ULW2	Q92997
Q9UP38	O14640
Q9UP38	O14641
Q9UP38	Q92997
P34925	P13569
P13569	P98082
Q01974	O43318
O43318	P98082
Q92997	P25054
O75197	O60353
O60353	P35222
O75197	Q9ULV1
Q9ULV1	P35222
O75581	O60353
O75581	Q9ULV1
O75581	P62979
P62979	Q15797
O75581	P62987
P62987	Q15797
O75197	P49841
P49841	P25054
P49841	P35222
P49841	Q13469
O75581	P49841
P34925	O14640
P34925	P04628
P04628	Q02962
Q01974	O14640
Q01974	O14641
Q01974	P04628
Q01974	Q92997
Q13467	P49841
Q01974	P21333
P21333	P25054
O14640	O15105
O15105	P15884
O15105	P35222
O15105	Q15797
O15105	Q9UJU2
O14640	O15169
O14640	P31749
P31749	P35222
O14640	P49674
P49674	P25054
O14640	P49841
O14640	P67870
P67870	P35222
O14640	P68400
P68400	P35222
O14640	P84022
P84022	P35222
P84022	P98082
P84022	Q15797
P84022	Q9UJU2
O14640	Q13485
Q13485	P35222
Q13485	Q15797
Q13485	Q9UJU2
O14640	Q15796
Q15796	P35222
O14640	P46531
P46531	Q15797
P46531	Q9UJU2
Q15796	P98082
Q15796	Q15797
Q15796	Q9UJU2
O14641	O15169
O14641	P17252
P17252	P35222
O14641	P49841
O00144	P09471
P09471	O14640
P09471	O14641
P09471	P27361
P27361	P15923
P27361	Q15797
P09471	P28482
P28482	P15923
P09471	P12931
P12931	P35222
P28482	Q15797
P09471	P42336
P42336	P35222
P09471	P27986
P27986	P98082
P09471	Q92997
O00144	P50148
P50148	O14640
P50148	O14641
P50148	Q92997
O00144	Q00722
Q00722	P00533
P00533	P35222
Q00722	P17252
O00144	Q01970
Q01970	O14745
O14745	P35222
Q01970	P00533
Q01970	P17252
O00144	Q15147
Q15147	P00533
Q15147	P17252
Q92997	O15169
Q92997	P49841
O00144	Q9NQ66
Q9NQ66	P00533
Q9NQ66	P17252
O75084	P09471
O75084	P50148
O75084	Q00722
O75084	Q01970
O75084	Q15147
O75084	Q9NQ66
O15169	O15105
O15169	O14640
O15169	O14641
O15169	O95996
O95996	P35222
O15169	P19022
O15169	P31749
O15169	P48729
P48729	P35222
P48729	Q13469
O15169	P49674
O15169	P49841
O15169	P84022
O15169	P36897
P36897	P98082
O15169	Q15796
O15169	Q92997
O15169	Q9Y297
Q9Y297	P25054
Q9Y297	P35222
P19022	O15169
P19022	P14923
P14923	P25054
P19022	P08575
P08575	P35222
P14923	P35222
P14923	Q9NQB0
P14923	Q9UJU2
P19022	P18031
P18031	P35222
P19022	P23467
P23467	P35222
P19022	P23470
P23470	P35222
P19022	Q05209
Q05209	P35222
P19022	Q12913
Q12913	P35222
P19022	Q16620
Q16620	P35222
P19022	Q16827
Q16827	P35222
O75197	Q92837
Q92837	O14640
Q92837	O15169
Q92837	P49841
Q92837	Q92997
O75581	Q9Y4X0
Q9Y4X0	P49841
Q9Y4X0	Q9Y2T1
Q9Y2T1	P25054
Q9Y2T1	P35222
P04628	O60353
